Report ID,Ticket Open Time,Ticket Resp Time,Issue Res Time,Operator,Manager,Channel,State,Service Name,Fault Type,response_seconds,resolution_minutes,resolution_category
AXA-20201230-1378-WLESS,,2020-12-30 08:54:08,2020-12-30 14:39:26,Atiku,Victor,Email,NIGER,Wireless,hardware failure,,345.3,Critical
AXA-20201226-2610-WiFi11,2020-12-26 14:55:42,2020-12-26 15:05:06,2020-12-26 20:50:11,Jonathan,Kerry,WebForm,DELTA,WiFI - 11,Line damage,564.0,345.0833333333333,Critical
AXA-20201202-3411-EVOICE,2020-12-02 09:58:53,2020-12-02 10:07:30,2020-12-02 15:52:34,Mary,Wale,Social Media,OGUN,EVoice,Line damage,517.0,345.06666666666666,Critical
AXA-20201213-3157-WiFi4,2020-12-13 11:29:45,2020-12-13 11:40:19,2020-12-13 17:25:23,Segun,Seun,USSD,AKWA IBOM,WiFI - 4,Customers End,634.0,345.06666666666666,Critical
AXA-20201216-4396-WLESS,2020-12-16 15:45:06,2020-12-16 15:46:44,2020-12-16 21:31:31,Segun,Seun,WebForm,IMO,Wireless,Customers End,98.0,344.78333333333336,Critical
AXA-20201231-1899-WLESS,,2020-12-31 23:24:30,2021-01-01 05:09:16,Vitus,Seun,Social Media,DELTA,Wireless,Routine Service,,344.76666666666665,Critical
AXA-20201216-5850-HSE,2020-12-16 15:23:45,2020-12-16 15:31:24,2020-12-16 21:16:08,John,Victor,Chatbot,FCT ABUJA,High speed Internet,Line damage,459.0,344.73333333333335,Critical
AXA-20201224-3132-WiFi6,2020-12-24 09:46:55,2020-12-24 09:55:29,2020-12-24 15:40:13,Atiku,Victor,Social Media,DELTA,WiFI - 6,Line damage,514.0,344.73333333333335,Critical
AXA-20201213-5206-WiFi8,2020-12-13 10:33:39,2020-12-13 10:36:18,2020-12-13 16:20:56,Sekina,Victor,USSD,NASARAWA,WiFI - 8,Customers End,159.0,344.6333333333333,Critical
AXA-20201208-5142-HSE,2020-12-08 12:11:22,2020-12-08 12:15:28,2020-12-08 18:00:04,Atiku,Victor,Email,KEBBI,High speed Internet,Line damage,246.0,344.6,Critical
AXA-20201204-2738-WLESS,2020-12-04 15:42:39,2020-12-04 15:49:55,2020-12-04 21:34:30,Atiku,Victor,Social Media,KANO,Wireless,Routine Service,436.0,344.5833333333333,Critical
AXA-20201216-3557-VOICE,2020-12-16 08:59:53,2020-12-16 09:09:36,2020-12-16 14:54:08,Paul,Seun,Social Media,ANAMBRA,Voice,Line damage,583.0,344.53333333333336,Critical
AXA-20201222-3396-WiFi4,2020-12-22 09:21:43,2020-12-22 09:30:16,2020-12-22 15:14:45,Jennifer,Kerry,Social Media,LAGOS,WiFI - 4,Not Specified,513.0,344.48333333333335,Critical
AXA-20201222-3244-CBS,2020-12-22 12:19:54,2020-12-22 12:23:38,2020-12-22 18:08:07,Bola,Victor,Chatbot,KADUNA,Cloud-based services,Customers End,224.0,344.48333333333335,Critical
AXA-20201207-5954-C95,2020-12-07 09:26:55,2020-12-07 09:34:35,2020-12-07 15:19:02,Brenda,Kerry,Phone Call,SOKOTO,Cloud95,Routine Service,460.0,344.45,Critical
AXA-20201212-3934-HSE,2020-12-12 10:10:59,2020-12-12 10:18:30,2020-12-12 16:02:51,Brenda,Kerry,Phone Call,OGUN,High speed Internet,Routine Service,451.0,344.35,Critical
AXA-20201231-1357-WLESS,,2020-12-31 07:35:28,2020-12-31 13:19:43,John,Victor,Social Media,KEBBI,Wireless,Customers End,,344.25,Critical
AXA-20201204-2478-WiFi8,2020-12-04 12:56:05,2020-12-04 12:57:29,2020-12-04 18:41:43,Amelia,Kerry,Email,KWARA,WiFI - 8,Customers End,84.0,344.23333333333335,Critical
AXA-20201203-3694-VOICE,2020-12-03 11:15:06,2020-12-03 11:23:45,2020-12-03 17:07:58,Jennifer,Kerry,USSD,KEBBI,Voice,Customers End,519.0,344.21666666666664,Critical
AXA-20201201-3591-WiFi3,2020-12-01 11:47:30,2020-12-01 11:55:57,2020-12-01 17:40:04,Atiku,Victor,Social Media,OYO,WiFI - 3,Customers End,507.0,344.1166666666667,Critical
AXA-20201205-3944-MCON,2020-12-05 15:02:13,2020-12-05 15:10:33,2020-12-05 20:54:40,Kachi,Seun,Email,ADAMAWA,M Connect,Not Specified,500.0,344.1166666666667,Critical
AXA-20201219-2845-WiFi3,2020-12-19 14:46:50,2020-12-19 14:52:10,2020-12-19 20:36:16,Kingsley,Kerry,Social Media,ABIA,WiFI - 3,Customers End,320.0,344.1,Critical
AXA-20201221-4141-WiFi6,2020-12-21 13:34:00,2020-12-21 13:41:23,2020-12-21 19:25:29,Kola,Wale,USSD,ENUGU,WiFI - 6,Customers End,443.0,344.1,Critical
AXA-20201225-4502-HSE,2020-12-25 08:39:15,2020-12-25 08:44:53,2020-12-25 14:28:57,Sekina,Victor,Email,ZAMFARA,High speed Internet,Line damage,338.0,344.06666666666666,Critical
AXA-20201223-3201-C95,2020-12-23 08:12:30,2020-12-23 08:12:53,2020-12-23 13:56:57,Bola,Victor,Email,ANAMBRA,Cloud95,hardware failure,23.0,344.06666666666666,Critical
AXA-20201202-2806-C95,2020-12-02 09:25:04,2020-12-02 09:25:23,2020-12-02 15:09:26,Sherifat,Victor,WebForm,KEBBI,Cloud95,Customers End,19.0,344.05,Critical
AXA-20201220-3390-ICS,2020-12-20 12:41:12,2020-12-20 12:45:37,2020-12-20 18:29:39,Myers,Kerry,Social Media,OYO,Interconnection Services,Customers End,265.0,344.03333333333336,Critical
AXA-20201218-2081-WiFi5,2020-12-18 10:21:19,2020-12-18 10:26:25,2020-12-18 16:10:09,Atiku,Victor,Social Media,OYO,WiFI - 5,Customers End,306.0,343.73333333333335,Critical
AXA-20201217-3501-WiFi8,2020-12-17 12:24:14,2020-12-17 12:30:48,2020-12-17 18:14:28,Jennifer,Kerry,WebForm,YOBE,WiFI - 8,Customers End,394.0,343.6666666666667,Critical
AXA-20201208-5987-WiFi3,2020-12-08 10:31:04,2020-12-08 10:36:31,2020-12-08 16:20:10,Jennifer,Kerry,Social Media,OYO,WiFI - 3,Line damage,327.0,343.65,Critical
AXA-20201226-4814-WiFi10,2020-12-26 13:56:02,2020-12-26 14:06:11,2020-12-26 19:49:47,Ore,Seun,WebForm,GOMBE,WiFI - 10,Customers End,609.0,343.6,Critical
AXA-20201227-4158-WiFi5,2020-12-27 15:35:32,2020-12-27 15:37:58,2020-12-27 21:21:32,Segun,Seun,Chatbot,YOBE,WiFI - 5,Customers End,146.0,343.56666666666666,Critical
AXA-20201230-1501-VOICE,,2020-12-30 17:58:34,2020-12-30 23:42:05,Atiku,Victor,Social Media,KADUNA,Voice,hardware failure,,343.51666666666665,Critical
AXA-20201228-3296-WiFi8,2020-12-28 14:03:31,2020-12-28 14:07:57,2020-12-28 19:51:27,Sola,Wale,USSD,ZAMFARA,WiFI - 8,Customers End,266.0,343.5,Critical
AXA-20201220-5274-WiFi10,2020-12-20 11:14:32,2020-12-20 11:15:10,2020-12-20 16:58:36,Amelia,Kerry,Social Media,DELTA,WiFI - 10,Customers End,38.0,343.43333333333334,Critical
AXA-20201231-1237-HSE,,2020-12-31 01:39:12,2020-12-31 07:22:34,Jonathan,Kerry,Social Media,NIGER,High speed Internet,Line damage,,343.3666666666667,Critical
AXA-20201231-1176-VOICE,,2020-12-31 10:38:11,2020-12-31 16:21:33,Sekina,Victor,Social Media,BORNO,Voice,Customers End,,343.3666666666667,Critical
AXA-20201218-3404-ICS,2020-12-18 09:10:35,2020-12-18 09:13:18,2020-12-18 14:56:39,Amelia,Kerry,Social Media,PLATEAU,Interconnection Services,Line damage,163.0,343.35,Critical
AXA-20201208-3419-C100,2020-12-08 09:21:02,2020-12-08 09:23:32,2020-12-08 15:06:51,Habeeb,Victor,Social Media,ADAMAWA,Cloud100,Customers End,150.0,343.31666666666666,Critical
AXA-20201213-5747-WiFi10,2020-12-13 15:32:48,2020-12-13 15:40:54,2020-12-13 21:24:12,Tunde,Victor,Chatbot,IMO,WiFI - 10,Customers End,486.0,343.3,Critical
AXA-20201223-3770-WiFi3,2020-12-23 11:29:32,2020-12-23 11:38:07,2020-12-23 17:21:24,Jonathan,Kerry,WebForm,ZAMFARA,WiFI - 3,Line damage,515.0,343.28333333333336,Critical
AXA-20201230-1390-CBS,,2020-12-30 21:02:18,2020-12-31 02:45:35,Atiku,Victor,Chatbot,ONDO,Cloud-based services,Customers End,,343.28333333333336,Critical
AXA-20201221-2826-WiFi10,2020-12-21 11:56:23,2020-12-21 11:56:48,2020-12-21 17:39:58,Paul,Seun,Phone Call,OSUN,WiFI - 10,Customers End,25.0,343.1666666666667,Critical
AXA-20201208-3958-WiFi10,2020-12-08 08:50:19,2020-12-08 08:51:47,2020-12-08 14:34:52,Bola,Victor,WebForm,KOGI,WiFI - 10,Not Specified,88.0,343.0833333333333,Critical
AXA-20201206-5346-WiFi9,2020-12-06 10:27:25,2020-12-06 10:30:34,2020-12-06 16:13:39,Jonathan,Kerry,USSD,EKITI,WiFI - 9,Not Specified,189.0,343.0833333333333,Critical
AXA-20201225-4238-HSE,2020-12-25 15:19:32,2020-12-25 15:20:00,2020-12-25 21:03:04,Goodluck,Kerry,USSD,KANO,High speed Internet,Line damage,28.0,343.06666666666666,Critical
AXA-20201231-1520-HSE,,2020-12-31 11:13:28,2020-12-31 16:56:30,Tunde,Victor,Social Media,EDO,High speed Internet,Customers End,,343.03333333333336,Critical
AXA-20201231-1355-WLESS,,2020-12-31 01:04:15,2020-12-31 06:47:03,Bola,Victor,Social Media,PLATEAU,Wireless,Line damage,,342.8,Critical
AXA-20201209-2819-WiFi8,2020-12-09 14:52:05,2020-12-09 15:01:24,2020-12-09 20:44:10,Ore,Seun,WebForm,ANAMBRA,WiFI - 8,Support network failures,559.0,342.76666666666665,Critical
AXA-20201209-4144-HSE,2020-12-09 14:09:51,2020-12-09 14:18:17,2020-12-09 20:01:02,Sherifat,Victor,Social Media,ONDO,High speed Internet,Customers End,506.0,342.75,Critical
AXA-20201223-2217-WLESS,2020-12-23 11:22:21,2020-12-23 11:31:05,2020-12-23 17:13:50,Sola,Wale,USSD,BORNO,Wireless,Customers End,524.0,342.75,Critical
AXA-20201223-3540-VOICE,2020-12-23 10:18:48,2020-12-23 10:23:28,2020-12-23 16:06:09,Tunde,Victor,Phone Call,OGUN,Voice,Customers End,280.0,342.68333333333334,Critical
AXA-20201211-5201-C100,2020-12-11 10:56:39,2020-12-11 11:01:47,2020-12-11 16:44:27,John,Victor,Chatbot,ZAMFARA,Cloud100,Customers End,308.0,342.6666666666667,Critical
AXA-20201229-1231-HSE,,2020-12-29 18:44:29,2020-12-30 00:27:03,Bola,Victor,Social Media,BORNO,High speed Internet,Customers End,,342.56666666666666,Critical
AXA-20201214-2260-WiFi4,2020-12-14 08:58:47,2020-12-14 09:07:09,2020-12-14 14:49:42,Tunde,Victor,WebForm,LAGOS,WiFI - 4,Customers End,502.0,342.55,Critical
AXA-20201203-5423-CBS,2020-12-03 15:05:06,2020-12-03 15:14:40,2020-12-03 20:57:12,John,Victor,Phone Call,KANO,Cloud-based services,Line damage,574.0,342.53333333333336,Critical
AXA-20201223-5726-MAC,2020-12-23 15:39:36,2020-12-23 15:42:46,2020-12-23 21:25:09,Jennifer,Kerry,WebForm,YOBE,Metro Area Connect,Customers End,190.0,342.3833333333333,Critical
AXA-20201225-4377-EVOICE,2020-12-25 12:50:57,2020-12-25 12:55:39,2020-12-25 18:37:59,Habeeb,Victor,WebForm,BAUCHI,EVoice,Customers End,282.0,342.3333333333333,Critical
AXA-20201216-3252-HSE,2020-12-16 13:44:26,2020-12-16 13:54:02,2020-12-16 19:36:18,Atiku,Victor,WebForm,LAGOS,High speed Internet,Line damage,576.0,342.26666666666665,Critical
AXA-20201204-4205-CBS,2020-12-04 10:11:13,2020-12-04 10:19:29,2020-12-04 16:01:42,Mary,Wale,Social Media,FCT ABUJA,Cloud-based services,Customers End,496.0,342.21666666666664,Critical
AXA-20201231-1542-HSE,,2020-12-31 21:33:43,2021-01-01 03:15:55,Mary,Wale,Social Media,BORNO,High speed Internet,Line damage,,342.2,Critical
AXA-20201208-2564-WiFi6,2020-12-08 14:05:48,2020-12-08 14:11:33,2020-12-08 19:53:41,Bola,Victor,Social Media,OGUN,WiFI - 6,Line damage,345.0,342.1333333333333,Critical
AXA-20201216-3372-WiFi4,2020-12-16 11:46:14,2020-12-16 11:55:25,2020-12-16 17:37:33,Sherifat,Victor,Email,FCT ABUJA,WiFI - 4,Customers End,551.0,342.1333333333333,Critical
AXA-20201206-3453-C95,2020-12-06 09:23:02,2020-12-06 09:32:41,2020-12-06 15:14:45,Tunde,Victor,Social Media,ABIA,Cloud95,Customers End,579.0,342.06666666666666,Critical
AXA-20201205-2673-WiFi9,2020-12-05 12:00:47,2020-12-05 12:07:28,2020-12-05 17:49:16,Popoola,Seun,USSD,ADAMAWA,WiFI - 9,Customers End,401.0,341.8,Critical
AXA-20201208-4548-WLESS,2020-12-08 11:07:28,2020-12-08 11:09:48,2020-12-08 16:51:36,Habeeb,Victor,USSD,FCT ABUJA,Wireless,Customers End,140.0,341.8,Critical
AXA-20201215-4399-HSE,2020-12-15 15:37:06,2020-12-15 15:47:20,2020-12-15 21:29:04,John,Victor,USSD,EKITI,High speed Internet,Routine Service,614.0,341.73333333333335,Critical
AXA-20201208-4178-ICS,2020-12-08 12:37:55,2020-12-08 12:48:30,2020-12-08 18:30:14,Goodluck,Kerry,WebForm,ANAMBRA,Interconnection Services,Line damage,635.0,341.73333333333335,Critical
AXA-20201209-3311-WiFi11,2020-12-09 09:50:12,2020-12-09 09:56:54,2020-12-09 15:38:38,Atiku,Victor,WebForm,LAGOS,WiFI - 11,hardware failure,402.0,341.73333333333335,Critical
AXA-20201224-5881-MAC,2020-12-24 08:34:54,2020-12-24 08:35:32,2020-12-24 14:17:12,Boye,Wale,Email,ZAMFARA,Metro Area Connect,Customers End,38.0,341.6666666666667,Critical
AXA-20201224-4827-WiFi6,2020-12-24 09:32:49,2020-12-24 09:42:31,2020-12-24 15:24:09,Sheg,Seun,Social Media,KEBBI,WiFI - 6,hardware failure,582.0,341.6333333333333,Critical
AXA-20201222-2462-WiFi7,2020-12-22 09:25:16,2020-12-22 09:25:35,2020-12-22 15:07:08,Kingsley,Kerry,Phone Call,ANAMBRA,WiFI - 7,Customers End,19.0,341.55,Critical
AXA-20201205-5219-WiFi11,2020-12-05 10:54:42,2020-12-05 11:01:48,2020-12-05 16:43:21,Vitus,Seun,Chatbot,SOKOTO,WiFI - 11,Customers End,426.0,341.55,Critical
AXA-20201215-3422-WiFi6,2020-12-15 15:10:22,2020-12-15 15:10:31,2020-12-15 20:51:59,Sherifat,Victor,Phone Call,OSUN,WiFI - 6,Customers End,9.0,341.46666666666664,Critical
AXA-20201222-4686-WiFi9,2020-12-22 13:37:53,2020-12-22 13:43:07,2020-12-22 19:24:26,Sherifat,Victor,Chatbot,OYO,WiFI - 9,Line damage,314.0,341.31666666666666,Critical
AXA-20201201-2142-CBS,2020-12-01 13:43:08,2020-12-01 13:49:36,2020-12-01 19:30:55,Jonathan,Kerry,WebForm,EKITI,Cloud-based services,Customers End,388.0,341.31666666666666,Critical
AXA-20201212-5790-WiFi8,2020-12-12 09:41:50,2020-12-12 09:49:10,2020-12-12 15:30:29,Myers,Kerry,Social Media,LAGOS,WiFI - 8,hardware failure,440.0,341.31666666666666,Critical
AXA-20201201-4587-C100,2020-12-01 09:31:19,2020-12-01 09:39:26,2020-12-01 15:20:42,Brenda,Kerry,Phone Call,NASARAWA,Cloud100,Customers End,487.0,341.26666666666665,Critical
AXA-20201228-4236-WiFi10,2020-12-28 10:37:18,2020-12-28 10:41:02,2020-12-28 16:22:14,Sherifat,Victor,Email,FCT ABUJA,WiFI - 10,Customers End,224.0,341.2,Critical
AXA-20201227-4568-WiFi3,2020-12-27 10:12:22,2020-12-27 10:13:03,2020-12-27 15:54:15,Myers,Kerry,Phone Call,FCT ABUJA,WiFI - 3,Customers End,41.0,341.2,Critical
AXA-20201228-2087-WLESS,2020-12-28 09:44:11,2020-12-28 09:47:22,2020-12-28 15:28:32,Tunde,Victor,WebForm,RIVERS,Wireless,Customers End,191.0,341.1666666666667,Critical
AXA-20201229-1997-WLESS,,2020-12-29 18:59:19,2020-12-30 00:40:29,Bola,Victor,Social Media,JIGAWA,Wireless,Customers End,,341.1666666666667,Critical
AXA-20201227-4211-WLESS,2020-12-27 15:16:46,2020-12-27 15:26:10,2020-12-27 21:07:15,Atiku,Victor,Phone Call,YOBE,Wireless,Customers End,564.0,341.0833333333333,Critical
AXA-20201218-2550-WiFi3,2020-12-18 11:44:30,2020-12-18 11:53:58,2020-12-18 17:35:02,Vitus,Seun,Phone Call,SOKOTO,WiFI - 3,Customers End,568.0,341.06666666666666,Critical
AXA-20201227-5353-MCON,2020-12-27 09:43:55,2020-12-27 09:54:30,2020-12-27 15:35:33,Atiku,Victor,Phone Call,EDO,M Connect,Line damage,635.0,341.05,Critical
AXA-20201221-3363-EVOICE,2020-12-21 09:58:15,2020-12-21 09:58:22,2020-12-21 15:39:25,Bukky,Wale,Phone Call,ENUGU,EVoice,Customers End,7.0,341.05,Critical
AXA-20201209-2287-WiFi5,2020-12-09 14:53:07,2020-12-09 15:03:44,2020-12-09 20:44:47,Ore,Seun,USSD,EKITI,WiFI - 5,Line damage,637.0,341.05,Critical
AXA-20201205-4458-VOICE,2020-12-05 12:13:08,2020-12-05 12:21:56,2020-12-05 18:02:41,Sherifat,Victor,Phone Call,ZAMFARA,Voice,Customers End,528.0,340.75,Critical
AXA-20201211-5247-C95,2020-12-11 15:07:34,2020-12-11 15:11:08,2020-12-11 20:51:52,Brenda,Kerry,Chatbot,OSUN,Cloud95,Customers End,214.0,340.73333333333335,Critical
AXA-20201222-2654-WiFi11,2020-12-22 10:48:22,2020-12-22 10:52:44,2020-12-22 16:33:28,Bola,Victor,Chatbot,IMO,WiFI - 11,Customers End,262.0,340.73333333333335,Critical
AXA-20201227-6065-WLESS,2020-12-27 12:55:01,2020-12-27 13:00:26,2020-12-27 18:41:07,Sola,Wale,Phone Call,DELTA,Wireless,Customers End,325.0,340.68333333333334,Critical
AXA-20201221-4295-VOICE,2020-12-21 11:38:52,2020-12-21 11:46:13,2020-12-21 17:26:53,Jonathan,Kerry,WebForm,OGUN,Voice,Routine Service,441.0,340.6666666666667,Critical
AXA-20201231-1598-WLESS,,2020-12-31 18:58:42,2021-01-01 00:39:21,Jonathan,Kerry,Social Media,NASARAWA,Wireless,Line damage,,340.65,Critical
AXA-20201208-3999-EVOICE,2020-12-08 15:30:35,2020-12-08 15:38:19,2020-12-08 21:18:50,Bola,Victor,Social Media,DELTA,EVoice,Customers End,464.0,340.51666666666665,Critical
AXA-20201226-2975-WiFi3,2020-12-26 09:59:13,2020-12-26 10:06:56,2020-12-26 15:47:24,Tunde,Victor,WebForm,LAGOS,WiFI - 3,Customers End,463.0,340.46666666666664,Critical
AXA-20201222-4313-EVOICE,2020-12-22 11:43:03,2020-12-22 11:48:32,2020-12-22 17:28:57,John,Victor,Phone Call,DELTA,EVoice,Line damage,329.0,340.4166666666667,Critical
AXA-20201231-1632-HSE,,2020-12-31 15:16:09,2020-12-31 20:56:31,Bukky,Wale,Social Media,AKWA IBOM,High speed Internet,Customers End,,340.3666666666667,Critical
AXA-20201208-2684-HSE,2020-12-08 12:57:02,2020-12-08 13:05:14,2020-12-08 18:45:33,Sherifat,Victor,WebForm,KADUNA,High speed Internet,Line damage,492.0,340.31666666666666,Critical
AXA-20201229-1922-HSE,,2020-12-29 20:24:29,2020-12-30 02:04:44,Ore,Seun,Social Media,EKITI,High speed Internet,Line damage,,340.25,Critical
AXA-20201219-6068-VOICE,2020-12-19 11:11:44,2020-12-19 11:14:22,2020-12-19 16:54:33,Popoola,Seun,Phone Call,KOGI,Voice,Customers End,158.0,340.18333333333334,Critical
AXA-20201218-4579-WiFi8,2020-12-18 10:34:23,2020-12-18 10:40:56,2020-12-18 16:21:07,Bola,Victor,USSD,IMO,WiFI - 8,Customers End,393.0,340.18333333333334,Critical
AXA-20201229-1978-WLESS,,2020-12-29 21:06:49,2020-12-30 02:46:57,Habeeb,Victor,Social Media,CROSS RIVER,Wireless,Customers End,,340.1333333333333,Critical
AXA-20201230-1247-WLESS,,2020-12-30 17:59:11,2020-12-30 23:39:17,Amelia,Kerry,Social Media,RIVERS,Wireless,Customers End,,340.1,Critical
AXA-20201211-5159-MCON,2020-12-11 14:51:39,2020-12-11 14:52:58,2020-12-11 20:33:03,Kingsley,Kerry,Email,PLATEAU,M Connect,Customers End,79.0,340.0833333333333,Critical
AXA-20201204-3970-WLESS,2020-12-04 13:09:06,2020-12-04 13:11:49,2020-12-04 18:51:52,Segun,Seun,USSD,ONDO,Wireless,Customers End,163.0,340.05,Critical
AXA-20201231-1615-WLESS,,2020-12-31 13:28:48,2020-12-31 19:08:33,Sherifat,Victor,Social Media,DELTA,Wireless,Not Specified,,339.75,Critical
AXA-20201221-3183-CBS,2020-12-21 11:14:28,2020-12-21 11:20:55,2020-12-21 17:00:39,Jennifer,Kerry,Chatbot,BORNO,Cloud-based services,Customers End,387.0,339.73333333333335,Critical
AXA-20201215-4139-WiFi3,2020-12-15 08:16:20,2020-12-15 08:22:34,2020-12-15 14:02:18,Atiku,Victor,Social Media,EKITI,WiFI - 3,Customers End,374.0,339.73333333333335,Critical
AXA-20201227-3952-WLESS,2020-12-27 13:12:52,2020-12-27 13:23:38,2020-12-27 19:03:19,Ore,Seun,Email,SOKOTO,Wireless,Customers End,646.0,339.68333333333334,Critical
AXA-20201220-2715-WiFi7,2020-12-20 10:01:51,2020-12-20 10:10:12,2020-12-20 15:49:50,Amelia,Kerry,Chatbot,OYO,WiFI - 7,Customers End,501.0,339.6333333333333,Critical
AXA-20201209-6089-VOICE,2020-12-09 08:17:06,2020-12-09 08:20:17,2020-12-09 13:59:50,Popoola,Seun,USSD,DELTA,Voice,Not Specified,191.0,339.55,Critical
AXA-20201213-5062-WiFi7,2020-12-13 12:11:50,2020-12-13 12:13:25,2020-12-13 17:52:53,Bukky,Wale,Phone Call,IMO,WiFI - 7,Routine Service,95.0,339.46666666666664,Critical
AXA-20201227-4482-WiFi7,2020-12-27 10:39:13,2020-12-27 10:39:49,2020-12-27 16:19:16,John,Victor,Email,RIVERS,WiFI - 7,Routine Service,36.0,339.45,Critical
AXA-20201218-6020-WiFi3,2020-12-18 13:35:47,2020-12-18 13:44:18,2020-12-18 19:23:41,Sola,Wale,Social Media,BAYELSA,WiFI - 3,Customers End,511.0,339.3833333333333,Critical
AXA-20201223-4034-WLESS,2020-12-23 14:08:40,2020-12-23 14:10:52,2020-12-23 19:50:14,Sherifat,Victor,Phone Call,DELTA,Wireless,Customers End,132.0,339.3666666666667,Critical
AXA-20201227-5356-WLESS,2020-12-27 09:07:32,2020-12-27 09:15:14,2020-12-27 14:54:36,Atiku,Victor,WebForm,KANO,Wireless,Routine Service,462.0,339.3666666666667,Critical
AXA-20201217-4936-WLESS,2020-12-17 10:52:13,2020-12-17 10:55:55,2020-12-17 16:35:15,Bola,Victor,Email,IMO,Wireless,Not Specified,222.0,339.3333333333333,Critical
AXA-20201227-3696-WiFi11,2020-12-27 10:08:21,2020-12-27 10:14:37,2020-12-27 15:53:53,Tunde,Victor,Social Media,RIVERS,WiFI - 11,Not Specified,376.0,339.26666666666665,Critical
AXA-20201219-3835-ICS,2020-12-19 09:22:12,2020-12-19 09:32:27,2020-12-19 15:11:40,Tunde,Victor,Email,ZAMFARA,Interconnection Services,Not Specified,615.0,339.21666666666664,Critical
AXA-20201202-6087-MAC,2020-12-02 14:03:13,2020-12-02 14:09:51,2020-12-02 19:49:04,Sherifat,Victor,Email,KOGI,Metro Area Connect,Customers End,398.0,339.21666666666664,Critical
AXA-20201216-2546-VOICE,2020-12-16 15:12:42,2020-12-16 15:17:12,2020-12-16 20:56:18,Mary,Wale,Chatbot,LAGOS,Voice,Line damage,270.0,339.1,Critical
AXA-20201206-4451-C95,2020-12-06 13:31:36,2020-12-06 13:42:19,2020-12-06 19:21:24,Vitus,Seun,WebForm,OYO,Cloud95,Line damage,643.0,339.0833333333333,Critical
AXA-20201202-2281-WiFi7,2020-12-02 10:19:11,2020-12-02 10:26:51,2020-12-02 16:05:55,Myers,Kerry,Social Media,BAYELSA,WiFI - 7,Traffic Spikes,460.0,339.06666666666666,Critical
AXA-20201230-1258-HSE,,2020-12-30 23:07:08,2020-12-31 04:46:11,Brenda,Kerry,Social Media,KATSINA,High speed Internet,Customers End,,339.05,Critical
AXA-20201220-2722-WLESS,2020-12-20 14:50:10,2020-12-20 15:00:21,2020-12-20 20:39:08,John,Victor,Email,KWARA,Wireless,Customers End,611.0,338.78333333333336,Critical
AXA-20201203-2957-EVOICE,2020-12-03 10:33:11,2020-12-03 10:38:28,2020-12-03 16:17:14,Brenda,Kerry,Chatbot,EKITI,EVoice,Customers End,317.0,338.76666666666665,Critical
AXA-20201218-5019-WiFi9,2020-12-18 09:08:04,2020-12-18 09:08:24,2020-12-18 14:47:08,Popoola,Seun,WebForm,OSUN,WiFI - 9,Line damage,20.0,338.73333333333335,Critical
